序号,债券代码,债券名称,计息方式,债券面额（万元）,年利率(%)
1,1680051,16万宝开投债01,附息固定,50000.0,0.0513
2,1680065,16普湾债,附息固定,280000.0,0.045
3,1880012,18吴中城建债,附息固定,50000.0,0.065
4,1980043,19荆建投债,附息固定,55000.0,0.072
5,2180014,21十堰聚鑫债01,附息固定,100000.0,0.0495
6,2180016,21东海城投债,附息固定,80000.0,0.0529
7,2180021,21海盐债01,附息固定,80000.0,0.0489
8,2180022,21洞头债01,附息固定,50000.0,0.0505
9,2180025,21杭城投债01,附息固定,120000.0,0.0387
10,2180029,21济轨绿债,附息固定,300000.0,0.0435
11,2180031,21鸠江建投债,附息固定,90000.0,0.0495
12,2180034,21麻城债,附息固定,100000.0,0.05
13,2180017,21永州专项债01,附息固定,80000.0,0.065
14,2180039,21陆嘴债01,附息固定,200000.0,0.0378
15,2180035,21科学城债,附息固定,50000.0,0.055
16,1080023,10国网债02,附息固定,1000000.0,0.048
17,2180002,21攀国投,附息固定,100000.0,0.068
18,2180003,21临川绿色债,附息固定,50000.0,0.068
19,2180011,21江油创元债,附息固定,50000.0,0.07
20,2180028,21安邦债,附息固定,93000.0,0.0525
21,2180033,21枝江债,附息固定,30000.0,0.0595
22,2180040,21宁海停车场专项债,附息固定,100000.0,0.0493
23,1824002,18泸州临港项目债01,附息固定,28000.0,0.071
24,1880015,18泾县债,附息固定,95000.0,0.068
25,1880018,18吉水管廊债01,附息固定,66000.0,0.068
26,1880019,18京诚债,附息固定,95000.0,0.07
27,1880017,18红果专项债,附息固定,35000.0,0.078
28,1880020,18渝中专项债01,附息固定,70000.0,0.069
29,2180050,21抚高新,附息固定,100000.0,0.065
30,2180053,21桂阳城投01,附息固定,36000.0,0.063
31,2180038,21蓉兴债01,附息固定,250000.0,0.0439
32,2180043,21赣铁航债01,附息固定,200000.0,0.0429
33,2180047,21富阳城投债01,附息固定,250000.0,0.045
34,2280047,22安城债01,附息固定,72000.0,0.054
35,1824003,18惠东房改项目NPB01,附息固定,50000.0,0.081
36,1880021,18铜梁专项债,附息固定,122000.0,0.068
37,1880022,18秭归养老债01,附息固定,20000.0,0.078
38,1980042,19淮南城投债01,附息固定,60000.0,0.0758
39,1824005,18十堰停车场项目NPB,附息固定,100000.0,0.078
40,1980045,19金霞经开债,附息固定,80000.0,0.07
41,1980047,19资凯利债,附息固定,75000.0,0.08
42,1980046,19苏海发债01,附息固定,33000.0,0.073
43,68005,06大唐债,附息固定,200000.0,0.042
44,1724001,17万盛管廊项目NPB01,附息固定,60000.0,0.066
45,1780006,17龙湖绿色债02,附息固定,144000.0,0.0348
46,2280049,22句容城投债,附息固定,42000.0,0.0382
47,2280052,22丹阳高新债,附息固定,20000.0,0.0395
48,2280053,22扬中交投债,附息固定,43000.0,0.0398
49,2280054,22乌建发债01,附息固定,80000.0,0.055
50,2280017,22温港城债,附息固定,45000.0,0.038
51,2080022,20渤海国资债01,附息固定,150000.0,0.0503
52,2080023,20晋江开发绿色债,附息固定,76000.0,0.04
53,1980048,19杨凌城投债01,附息固定,30000.0,0.078
54,2280055,22宏利水务债,附息固定,90000.0,0.068
55,2280058,22合川城投债,附息固定,26000.0,0.055
56,2280059,22临空投债,附息固定,57000.0,0.0407
57,2280060,22黄冈白投债01,附息固定,100000.0,0.045
58,1280018,12中石油04,附息固定,1000000.0,0.05
59,1980049,19深圳能源绿色债01,附息固定,165000.0,0.0405
60,2280063,22深铁绿色债01,附息固定,100000.0,0.027
61,2280051,22东津小微债,附息固定,70000.0,0.0391
62,1880023,18仁怀水投债01,附息固定,50000.0,0.0798
63,2280062,22马高新绿色债,附息固定,120000.0,0.0387
64,2280064,22金投债01,附息固定,50000.0,0.0335
65,2280065,22遂柔刚债,附息固定,79000.0,0.078
66,2080025,20芜湖战新债,附息固定,77000.0,0.0379
67,2280066,22简阳发展债,附息固定,70000.0,0.055
68,2280067,22苏海发债01,附息固定,87000.0,0.0385
69,1380065,13津城投债,附息固定,37474.8,0.057
70,1980050,19临川城投债01,附息固定,110000.0,0.08
71,1980053,19桂铁投债01,附息固定,200000.0,0.0478
72,2180051,21嬴城债,附息固定,30000.0,0.06
73,2180055,21嘉兴双创债01,附息固定,60000.0,0.0492
74,1380075,13中化股债01,附息固定,600000.0,0.0498
75,1380076,13中化股债02,附息固定,300000.0,0.0515
76,1980057,19弥勒农投债01,附息固定,50000.0,0.076
77,1680040,16新密财源债,附息固定,88000.0,0.0435
78,1980052,19渝两江双创债01,附息固定,160000.0,0.0428
79,1980055,19首旅债01,附息固定,120000.0,0.0322
80,1980056,19首旅债02,附息固定,80000.0,0.0439
81,2080026,20首钢基金债01,附息固定,50000.0,0.0327
82,2280073,22桂阳城投01,附息固定,34700.0,0.06
